Q8NBJ5	2.4.1.50
P49841	2.7.11.26; 2.7.11.1
P31937	1.1.1.31
Q8NF37	2.3.1.23; 2.3.1.67
P27695	3.1.-.-; 4.2.99.18
Q9UNE7	6.3.2.-
P12955	3.4.13.9
Q08257	1.6.5.5
P53701	4.4.1.17
Q9NX46	3.2.1.143
P00387	1.6.2.2
P06744	5.3.1.9
P40926	1.1.1.37
Q16822	4.1.1.32
P49821	1.6.5.3; 1.6.99.3
Q9NQ88	3.1.3.46
P47985	1.10.2.2
P62140	3.1.3.16; 3.1.3.53
Q5EB52	3.-.-.-
Q92905	3.4.-.-
P25325	2.8.1.2
Q15257	5.2.1.8
O00487	3.4.19.-
Q9BQP7	3.1.-.-
O94760	3.5.3.18
P40925	1.1.1.37; 1.1.1.96
P23284	5.2.1.8
Q04760	4.4.1.5
P50897	3.1.2.22
O43488	1.1.1.n11
P53597	6.2.1.4; 6.2.1.5
P10768	3.1.2.12; 3.1.1.56
P15121	1.1.1.21
P06132	4.1.1.37
Q9Y5K5	3.4.19.12
P34896	2.1.2.1
A6NDG6	3.1.3.18; 3.1.3.48
P28161	2.5.1.18
Q9BWD1	2.3.1.9
Q9H2U2	3.6.1.1
Q00796	1.1.1.14
P11177	1.2.4.1
Q96C86	3.6.1.59
P13995	1.5.1.15; 3.5.4.9
P49721	3.4.25.1
Q99538	3.4.22.34
P09972	4.1.2.13
Q9NPF4	2.3.1.234
P67775	3.1.3.16
Q9H479	2.7.1.-
P37268	2.5.1.21
Q96HE7	1.8.4.-
P34059	3.1.6.4
P36776	3.4.21.-
P46459	3.6.4.6
Q9H2H8	5.2.1.8
Q9HBH1	3.5.1.88
P25788	3.4.25.1
Q9Y285	6.1.1.20
P49419	1.2.1.31; 1.2.1.3; 1.2.1.8
P04843	2.4.99.18
Q92769	3.5.1.98
P30085	2.7.4.14; 2.7.4.6
P28838	3.4.11.1; 3.4.11.5
P04818	2.1.1.45
P22307	2.3.1.176
P68400	2.7.11.1
Q9Y265	3.6.4.12
P48735	1.1.1.42
Q9BUT1	1.1.1.-; 1.1.1.30
P09936	3.4.19.12; 6.-.-.-
P49902	3.1.3.5
P36957	2.3.1.61
Q9Y230	3.6.4.12
Q06587	6.3.2.-
Q10713	3.4.24.64
P30520	6.3.4.4
P05091	1.2.1.3
P49593	3.1.3.16
P00367	1.4.1.3
P18031	3.1.3.48
Q13283	3.6.4.12; 3.6.4.13
P09104	4.2.1.11
P04040	1.11.1.6
P28072	3.4.25.1
P05166	6.4.1.3
P53041	3.1.3.16
Q13867	3.4.22.40
O00303	3.4.19.12
Q99536	1.-.-.-
P78540	3.5.3.1
P24752	2.3.1.9
O14929	2.3.1.48
P30084	4.2.1.17
Q14197	3.1.1.29
P00558	2.7.2.3
Q13363	1.1.1.-
O75874	1.1.1.42
P50440	2.1.4.1
P39748	3.1.-.-
P17174	2.6.1.1; 2.6.1.3
Q9C0B1	1.14.11.-
Q9NXA8	3.5.1.-
P12277	2.7.3.2
P51452	3.1.3.16; 3.1.3.48
Q53GQ0	1.1.1.330; 1.1.1.62
Q9BSV6	4.6.1.16
P09110	2.3.1.16
Q9BV20	5.3.1.23
O95831	1.1.1.-
P36507	2.7.12.2
Q15185	5.3.99.3
P55263	2.7.1.20
P04181	2.6.1.13
P07954	4.2.1.2
O95865	3.5.3.18
P16930	3.7.1.2
P53582	3.4.11.18
P52209	1.1.1.44
Q12972	3.1.4.-
Q13126	2.4.2.28
Q96FW1	3.4.19.12
P40939	4.2.1.17; 1.1.1.211
Q9UIV1	3.1.13.4
P35520	4.2.1.22
P54578	3.4.19.12
P16278	3.2.1.23
Q68D91	3.-.-.-
O75439	3.4.24.64
P43304	1.1.5.3
P30419	2.3.1.97
Q96HS1	3.1.3.16
P27144	2.7.4.10; 2.7.4.6
P15531	2.7.4.6
Q08209	3.1.3.16
P48163	1.1.1.40
P51688	3.10.1.1
Q9HCC0	6.4.1.4
P30038	1.2.1.88
O95376	6.3.2.-
Q13153	2.7.11.1
Q9Y508	6.3.2.-
P46087	2.1.1.-
Q8NCW5	5.1.99.6
P25789	3.4.25.1
P60174	5.3.1.1
P13984	3.6.4.12
Q99714	1.1.1.35; 1.1.1.51; 1.1.1.178
P21912	1.3.5.1
Q13162	1.11.1.15
P32119	1.11.1.15
O95336	3.1.1.31
Q9NTX5	4.1.1.94; 4.1.1.41
P21964	2.1.1.6
Q9NVS9	1.4.3.5
P35270	1.1.1.153
Q16740	3.4.21.92
P35914	4.1.3.4
P25787	3.4.25.1
Q00688	5.2.1.8
P28066	3.4.25.1
O75608	3.1.2.-
Q15631	3.1.-.-
Q06830	1.11.1.15
P18669	3.1.3.13; 5.4.2.11; 5.4.2.4
O95571	1.13.11.18
P30048	1.11.1.15
P54819	2.7.4.3
Q13907	5.3.3.2
Q7Z4W1	1.1.1.10
P20618	3.4.25.1
Q15102	3.1.1.47
P21266	2.5.1.18
Q99497	3.1.2.-; 3.5.1.-
P07451	4.2.1.1
P25786	3.4.25.1
Q9BV86	2.1.1.244
P07738	5.4.2.4; 3.1.3.13; 5.4.2.11
Q86TN4	2.7.1.160
P49720	3.4.25.1
P09488	2.5.1.18
Q16774	2.7.4.8
P06493	2.7.11.22; 2.7.11.23
Q96HN2	3.3.1.1
Q86X76	3.5.-.-
Q92871	5.4.2.8
P00491	2.4.2.1
P30519	1.14.99.3
P19623	2.5.1.16
Q8NBN7	1.1.1.-
Q9NSU2	3.1.11.2
Q16698	1.3.1.34
P29372	3.2.2.21
P60891	2.7.6.1
P62714	3.1.3.16
Q96C36	1.5.1.2
P50225	2.8.2.1
P78549	3.2.2.-; 4.2.99.18
Q16836	1.1.1.35
Q9BU89	1.14.99.29
P16152	1.1.1.184; 1.1.1.197; 1.1.1.189
O75792	3.1.26.4
P24941	2.7.11.22
Q6P1N9	3.1.21.-
Q9NQR4	3.5.1.3
P09960	3.3.2.6
P30044	1.11.1.15
P09211	2.5.1.18
Q9H993	2.1.1.-
P11802	2.7.11.22
P35813	3.1.3.16
P49753	3.1.2.2
Q5TFE4	3.1.3.-
P13929	4.2.1.11
P61088	6.3.2.19
Q6YN16	1.-.-.-
Q9Y4P1	3.4.22.-
Q99447	2.7.7.14
P53634	3.4.14.1
P30043	1.5.1.30; 1.3.1.24
Q9BSD7	3.6.1.15
Q96GD0	3.1.3.3; 3.1.3.74
Q9H7Z7	5.3.99.3
O75828	1.1.1.184
Q9Y3E5	3.1.1.29
O43598	3.2.2.-
O95394	5.4.2.3
P04179	1.15.1.1
Q13526	5.2.1.8
P23919	2.7.4.9
Q96IU4	3.-.-.-
P61086	6.3.2.19
P16455	2.1.1.63
P61081	6.3.2.-
P62937	5.2.1.8
P30405	5.2.1.8
P00441	1.15.1.1
O95989	3.6.1.52; 3.6.1.-
P61009	3.4.-.-
Q96EK6	2.3.1.4
P22392	2.7.4.6; 2.7.13.3
P14174	5.3.2.1; 5.3.3.12
P30046	4.1.1.84
P31944	3.4.22.-
P63279	6.3.2.-
