"","X.","RXNID","NAME","EQUATION","EC.NUMBER","GENE.ASSOCIATION","LOWER.BOUND","UPPER.BOUND","OBJECTIVE","COMPARTMENT","SUBSYSTEM","SBO.TERM","HEPATONET1.ID","REACTOME.ID","KEGG.ID","EHMN.ID","BIGG.DATABASE.ID","REFERENCES","COMMENTS"
"1","","HMR_3905",NA,"NAD+[c] + ethanol[c] => H+[c] + NADH[c] + acetaldehyde[c]","EC:1.1.1.1;EC:1.1.1.71","ENSG00000147576;ENSG00000172955;ENSG00000180011;ENSG00000187758;ENSG00000196344;ENSG00000196616;ENSG00000197894;ENSG00000198099;ENSG00000248144",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0187","","R00754","R00754C","ALCD2if","PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978",NA
"3","","HMR_4097",NA,"ATP[c] + CoA[c] + acetate[c] => AMP[c] + PPi[c] + acetyl-CoA[c]","EC:6.2.1.1","ENSG00000131069",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0066","","R00235","R00235C","ACS","PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995",NA
"4","","HMR_4099",NA,"ATP[m] + CoA[m] + acetate[m] => AMP[m] + PPi[m] + acetyl-CoA[m]","EC:6.2.1.1","ENSG00000111058;ENSG00000154930",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","r0067","","R00235","R00235C","ACSm","PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995",NA
"5","","HMR_4108",NA,"CoA[c] + acetyl adenylate[c] => AMP[c] + acetyl-CoA[c]","EC:6.2.1.1","ENSG00000131069",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0068","","R00236","R00236C","","PMID:10843999;PMID:14086739;PMID:238571;PMID:2901103",NA
"6","","HMR_4133",NA,"ATP[c] + acetate[c] => PPi[c] + acetyl adenylate[c]","EC:6.2.1.1","ENSG00000131069",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0097","","R00316","R00316C","","PMID:10843999;PMID:14086739;PMID:238571;PMID:2901103",NA
"7","","HMR_4137",NA,"CoA[m] + NAD+[m] + pyruvate[m] => CO2[m] + H+[m] + NADH[m] + acetyl-CoA[m]","EC:1.2.4.1;EC:2.3.1.12;EC:1.8.1.4;EC:1.2.1.51","ENSG00000091140;ENSG00000110435;ENSG00000131828;ENSG00000150768;ENSG00000163114;ENSG00000168291",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","r0056","","R00209","R00209C","PDHm","PMID:11079566;PMID:2643922;PMID:8548923",NA
"8","","HMR_4281",NA,"H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p]","EC:1.1.1.27","ENSG00000111716;ENSG00000151116;ENSG00000166796;ENSG00000166800;ENSG00000171989",NA,NA,NA,"p","Glycolysis / Gluconeogenesis","SBO:0000176","r0173","","R00703","R00703C","","PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705",NA
"9","","HMR_4388",NA,"H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]","EC:1.1.1.27","ENSG00000111716;ENSG00000151116;ENSG00000166796;ENSG00000166800;ENSG00000171989",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0171","","R00703","R00703C","LDH_L","PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705",NA
"10","","HMR_4283",NA,"H2O[c] + NADP+[c] + acetaldehyde[c] => H+[c] + NADPH[c] + acetate[c]","EC:1.2.1.5","ENSG00000006534;ENSG00000108602;ENSG00000132746;ENSG00000184254",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0177","","R00711","R00711C","","PMID:16411662;PMID:2060039;PMID:7779080;PMID:8155713;PMID:8605195;PMID:9228057",NA
"11","","HMR_8357",NA,"H2O[m] + NAD+[m] + acetaldehyde[m] => H+[m] + NADH[m] + acetate[m]","EC:1.2.1.3","ENSG00000072210;ENSG00000111275;ENSG00000137124;ENSG00000143149;ENSG00000164904",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","","","R00538","","ALDD2xm","",NA
"12","","HMR_4379",NA,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c]","EC:2.7.1.11","ENSG00000067057;ENSG00000141959;ENSG00000152556;ENSG00000160226",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0736","","R00756","","PFK","PMID:12049998;PMID:5667967",NA
"13","","HMR_4301",NA,"UTP[c] + fructose-6-phosphate[c] => UDP[c] + fructose-1,6-bisphosphate[c]","EC:2.7.1.11","ENSG00000067057;ENSG00000141959;ENSG00000152556;ENSG00000160226",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0191","","R00769","","","PMID:11945275;PMID:4276999",NA
"14","","HMR_4355",NA,"DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]","EC:4.1.2.13","ENSG00000109107;ENSG00000136872;ENSG00000149925",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0407","","R01829","R01829C","","PMID:10214945;PMID:2198022;PMID:4052378;PMID:4084320;PMID:6952783",NA
"15","","HMR_4358",NA,"ADP[c] + PEP[c] => ATP[c] + pyruvate[c]","EC:2.7.1.40","ENSG00000067225;ENSG00000121900;ENSG00000143627;ENSG00000143630",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0054","","R00200","R00200C","PYK","PMID:1009117;PMID:7154942",NA
"16","","HMR_4360",NA,"H2O[c] + NADP+[c] + methylglyoxal[c] => H+[c] + NADPH[c] + pyruvate[c]","EC:1.2.1.49","ENSG00000180011",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0055","","R00205","","","PMID:20958;PMID:4383524;PMID:4391087;PMID:6014;PMID:7107625;PMID:7107626;PMID:7144586;PMID:7763257;PMID:7993370",NA
"18","","HMR_4363",NA,"2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c]","EC:4.2.1.11","ENSG00000074800;ENSG00000108515;ENSG00000111674",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0164","","R00658","R00658C","ENO","PMID:3536714;PMID:7357031",NA
"19","","HMR_4365",NA,"2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c]","EC:5.4.2.1;EC:5.4.2.4","ENSG00000164708;ENSG00000171314;ENSG00000172331;ENSG00000226784",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0341","","R01518","R01518C","PGM","PMID:2840859;PMID:6322090;PMID:9688259",NA
"20","","HMR_4368",NA,"1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]","EC:2.7.2.3","ENSG00000096006;ENSG00000102144;ENSG00000154305;ENSG00000170950",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0337","","R01512","R01512C","PGK","PMID:367367;PMID:4203909;UNIPROT:P00558",NA
"21","","HMR_4370",NA,"1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]","EC:3.6.1.7","ENSG00000119640;ENSG00000170634",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","","","ACYP","",NA
"22","","HMR_4371",NA,"1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c]","EC:5.4.2.1;EC:5.4.2.4","ENSG00000164708;ENSG00000171314;ENSG00000172331;ENSG00000226784",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","R01662","","","",NA
"23","","HMR_4372",NA,"2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]","EC:3.1.3.13","ENSG00000172331",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","R01516","","","",NA
"24","","HMR_4373",NA,"1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]","EC:1.2.1.12","ENSG00000105679;ENSG00000111640;ENSG00000178596",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0253","","R01061","R01061C","GAPD","PMID:12027953;PMID:14993695;PMID:3370218;PMID:7144574",NA
"25","","HMR_4375",NA,"DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]","EC:4.1.2.13","ENSG00000109107;ENSG00000136872;ENSG00000149925",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0256","","R01068","","FBA","PMID:10641038;PMID:10797566;PMID:12417303;PMID:12676688;PMID:1392515;PMID:2752067",NA
"26","","HMR_4377",NA,"H2O[c] + fructose-1,6-bisphosphate[c] => Pi[c] + fructose-6-phosphate[c]","EC:3.1.3.11","ENSG00000130957;ENSG00000165140",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0487","","R00762","R00762C","FBP","PMID:15295071;PMID:214743;PMID:3032541",NA
"28","","HMR_4391",NA,"DHAP[c] <=> GAP[c]","EC:5.3.1.1","ENSG00000111669;ENSG00000230359",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0243","","R01015","R01015C","TPI","PMID:1168838;PMID:15262334;PMID:15522269;PMID:1959537;PMID:2339591",NA
"29","","HMR_4394",NA,"ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c]","EC:2.7.1.1;EC:2.7.1.2;EC:2.7.1.147","ENSG00000106633;ENSG00000156510;ENSG00000156515;ENSG00000159322;ENSG00000159399;ENSG00000160883",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0353","","R00299","","HEX1","PMID:16906315;PMID:7061426;PMID:7150652;PMID:8717435",NA
"30","","HMR_4396",NA,"glucose-1-phosphate[c] <=> glucose-6-phosphate[c]","EC:5.4.2.2;EC:5.4.2.5;EC:5.4.2.6;EC:5.2.2.2","ENSG00000079739;ENSG00000154330;ENSG00000169299",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","r0621","","R00959","R00959C","PGMT","PMID:600270",NA
"31","","HMR_4521",NA,"H2O[r] + glucose-6-phosphate[r] => Pi[r] + glucose[r]","EC:3.1.3.9","ENSG00000131482;ENSG00000141349;ENSG00000152254",NA,NA,NA,"r","Glycolysis / Gluconeogenesis","SBO:0000176","r0396","","R00303","","G6PASEer","PMID:12101013;PMID:12485600;PMID:1662952;PMID:6291517;PMID:6321405;PMID:6935637",NA
"32","","HMR_6410",NA,"lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m]","EC:1.2.4.1","ENSG00000131828;ENSG00000163114;ENSG00000168291",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","r0383","","R01699","R01699M","","PMID:18032470;PMID:2323578;PMID:2748588",NA
"33","","HMR_6412",NA,"CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]","EC:2.3.1.12","ENSG00000150768",NA,NA,NA,"m","Glycolysis / Gluconeogenesis","SBO:0000176","r0555","","R02569","R02569C","","PMID:12108679;PMID:14741190",NA
"34","","HMR_7745",NA,"beta-D-glucose[c] <=> glucose[c]","EC:5.1.3.3","ENSG00000143891",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","R01602","","","",NA
"35","","HMR_7746",NA,"ATP[c] + beta-D-glucose[c] => ADP[c] + beta-D-glucose-6-phosphate[c]","EC:2.7.1.1;EC:2.7.1.2","ENSG00000106633;ENSG00000156510;ENSG00000156515;ENSG00000159399;ENSG00000160883",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","R01600","","","",NA
"36","","HMR_7747",NA,"ADP[c] + beta-D-glucose[c] => AMP[c] + beta-D-glucose-6-phosphate[c]","EC:2.7.1.147","ENSG00000159322",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","R09086","","","",NA
"39","","HMR_8360",NA,"H2O2[p] + ethanol[p] => 2 H2O[p] + acetaldehyde[p]","EC:1.11.1.6","ENSG00000121691",NA,NA,NA,"p","Glycolysis / Gluconeogenesis","SBO:0000176","","","","","CAt7r","",NA
"40","","HMR_8652",NA,"carbamoyl-phosphate[r] + glucose[r] => CO2[r] + NH3[r] + glucose-6-phosphate[r]","EC:3.1.3.9","ENSG00000131482;ENSG00000141349;ENSG00000152254",NA,NA,NA,"r","Glycolysis / Gluconeogenesis","SBO:0000176","","","","","CBPS","",NA
"41","","HMR_8757",NA,"H+[c] + NADPH[c] + O2[c] + ethanol[c] => 2 H2O[c] + NADP+[c] + acetaldehyde[c]","","ENSG00000130649",NA,NA,NA,"c","Glycolysis / Gluconeogenesis","SBO:0000176","","","","","ETOHtx","",NA
"42","","HMR_3989",NA,"H2O[s] + maltose[s] => 2 glucose[s]","EC:3.2.1.20","ENSG00000092529;ENSG00000171298;ENSG00000179087;ENSG00000214013;ENSG00000257335",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","r0014","","R00028","RE0446","MALTe","PMID:1885588;PMID:2141837;PMID:3128290;PMID:6362728;PMID:7358666",NA
"43","","HMR_4122",NA,"H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 2 H+[c] + 2 NADH[c] + UDP-glucuronate[c]","EC:1.1.1.22","ENSG00000109814",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r0092","","R00286","R00286C","UDPGD","PMID:9737970;PMID:9850599",NA
"44","","HMR_4837",NA,"H2O[s] + trehalose[s] => 2 glucose[s]","EC:3.2.1.28","ENSG00000118094;ENSG00000142102",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","r0785","","R06103","R00010C","TREHe","PMID:5125320;PMID:8222277;PMID:8773341;PMID:9427547",NA
"46","","HMR_5396",NA,"3 UDP-glucose[c] + glycogenin G8[c] => 3 UDP[c] + glycogenin G11[c]","EC:2.4.1.11","ENSG00000056998;ENSG00000104812;ENSG00000111713;ENSG00000163754",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r1388","","","","GLGNS1","PMID:12133002;PMID:4475632;PMID:5810070;UNIPROT:Q15125",NA
"47","","HMR_9727",NA,"UDP-glucose[c] => glycogen[c] + UDP[c]","EC:2.4.1.11","ENSG00000104812;ENSG00000111713;ENSG00000173281;ENSG00000119938",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","","","",NA
"48","","HMR_5397",NA,"glycogenin G11[c] => glycogenin G4G7[c]","EC:2.4.1.18","ENSG00000114480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r1389","","","","GLBRAN","PMID:12133002;PMID:4475632;PMID:5810070;UNIPROT:Q15125",NA
"49","","HMR_5398",NA,"3 Pi[c] + glycogenin G4G7[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]","EC:2.4.1.1","ENSG00000068976;ENSG00000100504;ENSG00000100994",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r1390","","","","GLPASE1","PMID:12133002;PMID:4475632;PMID:5810070;UNIPROT:Q15125",NA
"50","","HMR_5399",NA,"glycogenin G4G4[c] => glycogenin G7G1[c]","EC:2.4.1.25","ENSG00000162688",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r1391","","","","","PMID:12133002;PMID:4475632;PMID:5810070;UNIPROT:Q15125",NA
"51","","HMR_5400",NA,"H2O[c] + glycogenin G7G1[c] => glucose[c] + glycogenin G7[c]","EC:3.2.1.33","ENSG00000162688",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r1392","","","","","PMID:12133002;PMID:4475632;PMID:5810070;UNIPROT:Q15125",NA
"52","","HMR_5401",NA,"7 Pi[c] + glycogenin G7[c] => 7 glucose-1-phosphate[c] + glycogenin[c]","EC:2.4.1.1","ENSG00000068976;ENSG00000100504;ENSG00000100994",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","r1393","","","","","PMID:12133002;PMID:4475632;PMID:5810070;UNIPROT:Q15125",NA
"53","","HMR_8568",NA,"H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0958","","",NA
"54","","HMR_8569",NA,"H2O[s] + maltodecaose[s] => glucose[s] + maltononaose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0958","","",NA
"55","","HMR_8570",NA,"2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0951","","",NA
"56","","HMR_8571",NA,"2 H2O[s] + maltononaose[s] => 2 glucose[s] + maltoheptaose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0951","","",NA
"57","","HMR_8572",NA,"H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0944","","",NA
"58","","HMR_8573",NA,"H2O[s] + maltoheptaose[s] => glucose[s] + maltohexaose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0944","","",NA
"59","","HMR_8574",NA,"H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0935","","",NA
"60","","HMR_8575",NA,"H2O[s] + maltohexaose[s] => glucose[s] + maltopentaose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0935","","",NA
"61","","HMR_8576",NA,"H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0926","","",NA
"62","","HMR_8577",NA,"H2O[s] + maltopentaose[s] => glucose[s] + maltotetraose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0926","","",NA
"63","","HMR_8578",NA,"H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0915","","",NA
"64","","HMR_8579",NA,"H2O[s] + maltotetraose[s] => glucose[s] + maltotriose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0915","","",NA
"65","","HMR_8581",NA,"H2O[s] + maltotriose[s] => glucose[s] + maltose[s]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","","RE0905","","",NA
"66","","HMR_8591",NA,"H2O[c] + maltotriose[c] => glucose[c] + maltose[c]","EC:3.2.1.20","ENSG00000214013;ENSG00000257335",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","","MLTG1","",NA
"67","","HMR_8592",NA,"H2O[l] + maltotriose[l] => glucose[l] + maltose[l]","EC:3.2.1.20","ENSG00000171298",NA,NA,NA,"l","Starch and sucrose metabolism","SBO:0000176","","","","","MLTG1ly","",NA
"68","","HMR_8580",NA,"H2O[c] + maltotriose[c] => fructose[c] + maltose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0905","","",NA
"69","","HMR_8582",NA,"H2O[c] + maltose[c] => 2 fructose[c]","EC:3.2.1.1","ENSG00000120563;ENSG00000174876;ENSG00000187733;ENSG00000237763;ENSG00000240038;ENSG00000243480",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","RE0446","","",NA
"70","","HMR_8587",NA,"H2O[c] + maltose[c] => 2 glucose[c]","EC:3.2.1.20","ENSG00000214013;ENSG00000257335",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","","","MALT","",NA
"71","","HMR_8589",NA,"H2O[l] + maltose[l] => 2 glucose[l]","EC:3.2.1.20","ENSG00000171298",NA,NA,NA,"l","Starch and sucrose metabolism","SBO:0000176","","","","","MALTly","",NA
"72","","HMR_8583",NA,"8 H2O[s] + starch structure 1[s] => 8 glucose[s] + starch structure 2[s]","EC:3.2.1.3","ENSG00000257335",NA,NA,NA,"s","Starch and sucrose metabolism","SBO:0000176","","","R01790","","AMY1e","",NA
"74","","HMR_8585",NA,"1,3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1,6-bisphosphate[c]","EC:2.7.1.106","ENSG00000165434",NA,NA,NA,"c","Starch and sucrose metabolism","SBO:0000176","","","R01660","","","",NA
"75","","HMR_3944",NA,"UTP[c] + glucose-1-phosphate[c] => PPi[c] + UDP-glucose[c]","EC:2.7.7.9","ENSG00000169764;UGP1",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","r0094","","R00289","R00289C","GALU","PMID:223665;PMID:4433565;PMID:4436332;PMID:6318818;PMID:6320876;PMID:8612650",NA
"76","","HMR_4128",NA,"UDP-galactose[c] <=> UDP-glucose[c]","EC:5.1.3.2","ENSG00000117308",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","r0095","","R00291","R00291C","UDPG4E","PMID:191453;PMID:845161",NA
"77","","HMR_4130",NA,"ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c]","EC:2.7.1.6","ENSG00000108479;ENSG00000156958",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","","","","","GALK","",NA
"78","","HMR_4131",NA,"UDP-galactose[c] + glucose-1-phosphate[c] <=> UDP-glucose[c] + alpha-D-galactose-1-phosphate[c]","EC:2.7.7.12","ENSG00000213930",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","","","","","UGLT","",NA
"79","","HMR_4132",NA,"UDP-glucose[c] + galactose-1-phosphate[c] => UDP-galactose[c] + glucose-1-phosphate[c]","EC:2.7.7.12","ENSG00000213930",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","r0233","","R00955","R00955C","","PMID:10993714",NA
"80","","HMR_4303",NA,"H2O[s] + sucrose[s] => fructose[s] + glucose[s]","EC:3.2.1.10;EC:3.2.1.20;EC:3.2.1.48","ENSG00000090402;ENSG00000171298;ENSG00000214013;ENSG00000257335",NA,NA,NA,"s","Galactose metabolism","SBO:0000176","r0194","","R00801","R00801C","SUCRe","PMID:12055199",NA
"81","","HMR_4414",NA,"ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c]","EC:2.7.1.6","ENSG00000108479;ENSG00000156958;ENSG00000166262",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","r0265","","R01092","R01092C","","PMID:8908517",NA
"82","","HMR_4415",NA,"H2O[s] + lactose[s] => galactose[s] + glucose[s]","EC:3.2.1.23;EC:3.2.1.108","ENSG00000115850;ENSG00000163521;ENSG00000170266",NA,NA,NA,"s","Galactose metabolism","SBO:0000176","r0266","","R01100","R01100C","LACZe","PMID:6786877",NA
"83","","HMR_4416",NA,"H2O[s] + galactosylglycerol[s] => galactose[s] + glycerol[s]","EC:3.2.1.22;EC:3.2.1.23","ENSG00000102393;ENSG00000170266;ENSG00000241343",NA,NA,NA,"s","Galactose metabolism","SBO:0000176","r0627","","R01104","R01104C","","PMID:3569296",NA
"84","","HMR_4774",NA,"CDP[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]","EC:2.7.1.11","ENSG00000067057;ENSG00000141959;ENSG00000152556",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","r0610","","R03237","R03237C","","PMID:131802;PMID:1810251;PMID:193556;PMID:2987258;PMID:6091737",NA
"85","","HMR_4775",NA,"D-tagatose-6-phosphate[c] + ITP[c] <=> IDP[c] + tagatose-1,6-bisphosphate[c]","EC:2.7.1.11","ENSG00000067057;ENSG00000141959;ENSG00000152556",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","r0611","","R03239","R03239C","","PMID:131802;PMID:1810251",NA
"87","","HMR_4832",NA,"3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s]","EC:3.2.1.23","ENSG00000115850;ENSG00000163521;ENSG00000170266",NA,NA,NA,"s","Galactose metabolism","SBO:0000176","r0737","","R04783","R04783C","","PMID:3109378;UNIPROT:P16278",NA
"88","","HMR_7674",NA,"UDP-galactose[g] + glucose[g] => UDP[g] + lactose[g]","EC:2.4.1.22","ENSG00000086062;ENSG00000117411;ENSG00000167531",NA,NA,NA,"g","Galactose metabolism","SBO:0000176","","","","","UGALGTg","",NA
"89","","HMR_8761",NA,"ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c]","EC:2.7.1.3","ENSG00000138030",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","","","","","KHK3","",NA
"90","","HMR_8762",NA,"D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c]","EC:4.1.2.13","ENSG00000109107;ENSG00000136872;ENSG00000149925",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","","","","","FBP26","",NA
"93","","HMR_8767",NA,"UTP[c] + alpha-D-galactose-1-phosphate[c] => PPi[c] + UDP-galactose[c]","EC:2.7.7.12","ENSG00000213930",NA,NA,NA,"c","Galactose metabolism","SBO:0000176","","","","","GALt2_2","",NA
"95","","HMR_4297",NA,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c]","EC:2.7.1.105","ENSG00000114268;ENSG00000123836;ENSG00000158571;ENSG00000170525",NA,NA,NA,"c","Fructose and mannose metabolism","SBO:0000176","r0188","","R00757","","PFK26","PMID:7506254;PMID:7688733",NA
"96","","HMR_4310",NA,"ATP[c] + fructose[c] => ADP[c] + fructose-1-phosphate[c]","EC:2.7.1.3","ENSG00000138030",NA,NA,NA,"c","Fructose and mannose metabolism","SBO:0000176","r0206","","R00866","R00866C","KHK","PMID:2996495;PMID:7833921",NA
