"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.116667,0.116667,0.116667,0.116667,6.288,0.116667,0.116667,0.116667,0.116666999999985
"2",0,0.116667,0.116667,0.116667,0.116667,0,0.116667,0.116667,0.116667,0.116667
