"abbreviation"	"name"	"compartment"
"(R)-S-lactoylglutathione"	"(R)-S-lactoylglutathione"	"c, m"
"D-lactate"	"D-lactate"	"c, m, e"
"ferricytochromeC"	"ferricytochromeC"	"m, c"
"ferrocytochromeC"	"ferrocytochromeC"	"m, c"
"malate"	"malate"	"m, c"
"OAA"	"OAA"	"m, c, p"
"acetone"	"acetone"	"c, e, m"
"hydroxyacetone"	"hydroxyacetone"	"c"
"D-lactaldehyde"	"D-lactaldehyde"	"c"
"lactaldehyde"	"lactaldehyde"	"c, m"
"propane-1,2-diol"	"propane-1,2-diol"	"c"
"propanoyl-CoA"	"propanoyl-CoA"	"c, m, p"
"propanoate"	"propanoate"	"c, m, p, e"
"FAD"	"FAD"	"m, c, r, p, e"
"FADH2"	"FADH2"	"m, c, r, p"
"acrylyl-CoA"	"acrylyl-CoA"	"m"
"malonyl-CoA"	"malonyl-CoA"	"c, m, p, r"
"3-oxopropanoate"	"3-oxopropanoate"	"m"
"propinoladenylate"	"propinoladenylate"	"c, m"
"hydracrylate"	"hydracrylate"	"m"
"3-hydroxypropionyl-CoA"	"3-hydroxypropionyl-CoA"	"m"
"3-oxopropionyl-CoA"	"3-oxopropionyl-CoA"	"m"
"AKG"	"AKG"	"c, m, p, e"
"2-hydroxyglutarate"	"2-hydroxyglutarate"	"c"
"acetoacetyl-CoA"	"acetoacetyl-CoA"	"c, p, m"
"acetoacetate"	"acetoacetate"	"c, m, e"
"butyryl-CoA"	"butyryl-CoA"	"m, c, p"
"crotonyl-CoA"	"crotonyl-CoA"	"m, p"
"(R)-3-hydroxybutanoate"	"(R)-3-hydroxybutanoate"	"m, e, c"
"HMG-CoA"	"HMG-CoA"	"p, m, c"
"2-hydroxybutyrate"	"2-hydroxybutyrate"	"c, e"
"2-oxobutyrate"	"2-oxobutyrate"	"c, m"
"(R)-3-hydroxybutanoyl-CoA"	"(R)-3-hydroxybutanoyl-CoA"	"m"
"ribose-5-phosphate"	"ribose-5-phosphate"	"c, r"
"PRPP"	"PRPP"	"c, e"
"ribose"	"ribose"	"c, r"
"ribose-1-phosphate"	"ribose-1-phosphate"	"c"
"2-deoxy-D-ribose-5-phosphate"	"2-deoxy-D-ribose-5-phosphate"	"c"
"6-phospho-D-gluconate"	"6-phospho-D-gluconate"	"r, c"
"D-gluconicacid"	"D-gluconicacid"	"c"
"sedoheptulose-7-phosphate"	"sedoheptulose-7-phosphate"	"c"
"sedoheptulose"	"sedoheptulose"	"c"
"sedoheptulose-1-phosphate"	"sedoheptulose-1-phosphate"	"c"
"glucono-1,5-lactone-6-phosphate"	"glucono-1,5-lactone-6-phosphate"	"r, c"
"2-deoxy-D-ribose-1-phosphate"	"2-deoxy-D-ribose-1-phosphate"	"c"
"ribitol"	"ribitol"	"c"
"deoxyribose"	"deoxyribose"	"c"
"cAMP"	"cAMP"	"c, g, e"
"adenosine"	"adenosine"	"c, e, m, l"
"GMP"	"GMP"	"c, e, m, l, n, g"
"cGMP"	"cGMP"	"c, n, g, e"
"FAICAR"	"FAICAR"	"c"
