"abbreviation"	"name"	"compartment"
"3-hydroxykynurenine-O-beta-D-glucoside"	"3-hydroxykynurenine-O-beta-D-glucoside"	"c"
"glutathionyl-3-hydroxykynurenineglucoside"	"glutathionyl-3-hydroxykynurenineglucoside"	"c"
"phenylpyruvate"	"phenylpyruvate"	"c"
"2-hydroxy-3-phenylpropenoate"	"2-hydroxy-3-phenylpropenoate"	"c"
"L-dopa"	"L-dopa"	"c, e"
"3-O-methyldopa"	"3-O-methyldopa"	"c"
"salsolinol"	"salsolinol"	"c"
"salsoline"	"salsoline"	"c"
"N-methylsalsolinol"	"N-methylsalsolinol"	"c"
"(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline"	"(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline"	"c"
"salsolinol-1-carboxylate"	"salsolinol-1-carboxylate"	"c"
"salsoline-1-carboxylate"	"salsoline-1-carboxylate"	"c"
"noradrenaline"	"noradrenaline"	"c, e"
"adrenaline"	"adrenaline"	"c, e"
"3,4-dihydroxymandelaldehyde"	"3,4-dihydroxymandelaldehyde"	"c"
"L-metanephrine"	"L-metanephrine"	"c"
"3-methoxy-4-hydroxyphenylglycolaldehyde"	"3-methoxy-4-hydroxyphenylglycolaldehyde"	"c"
"vanillylmandelate"	"vanillylmandelate"	"c"
"normetanephrine"	"normetanephrine"	"c"
"3,4-dihydroxymandelate"	"3,4-dihydroxymandelate"	"c"
"3,4-dihydroxyphenylethyleneglycol"	"3,4-dihydroxyphenylethyleneglycol"	"c"
"3-methoxy-4-hydroxyphenylethyleneglycol"	"3-methoxy-4-hydroxyphenylethyleneglycol"	"c"
"3,4-dihydroxyphenylacetaldehyde"	"3,4-dihydroxyphenylacetaldehyde"	"c"
"3,4-dihydroxyphenylacetate"	"3,4-dihydroxyphenylacetate"	"c"
"homovanillate"	"homovanillate"	"c"
"3-methoxytyramine"	"3-methoxytyramine"	"c"
"3-methoxy-4-hydroxyphenylacetaldehyde"	"3-methoxy-4-hydroxyphenylacetaldehyde"	"c"
"2-hydroxy-3-(4-hydroxyphenyl)propenoate"	"2-hydroxy-3-(4-hydroxyphenyl)propenoate"	"c"
"homogentisate"	"homogentisate"	"c"
"4-maleylacetoacetate"	"4-maleylacetoacetate"	"c"
"fumarylacetoacetate"	"fumarylacetoacetate"	"c"
"N-methyltyramine"	"N-methyltyramine"	"c"
"4-hydroxyphenylacetaldehyde"	"4-hydroxyphenylacetaldehyde"	"c"
"4-hydroxyphenylacetate"	"4-hydroxyphenylacetate"	"c"
"dopamine-O-quinone"	"dopamine-O-quinone"	"c"
"5-S-glutathionyl-dopamine"	"5-S-glutathionyl-dopamine"	"c"
"dopaminochrome"	"dopaminochrome"	"c"
"aminochrome-O-semiquinone"	"aminochrome-O-semiquinone"	"c"
"5-S-glutathionyl-aminochromereduced"	"5-S-glutathionyl-aminochromereduced"	"c"
"leukoaminochrome"	"leukoaminochrome"	"c"
"adrenochrome-O-semiquinone"	"adrenochrome-O-semiquinone"	"c"
"adrenochrome"	"adrenochrome"	"c"
"5-S-glutathionyl-adrenochromehydroquinone"	"5-S-glutathionyl-adrenochromehydroquinone"	"c"
"noradrenochrome-O-semiquinone"	"noradrenochrome-O-semiquinone"	"c"
"noradrenochrome"	"noradrenochrome"	"c"
"5-S-glutathionyl-noradrenochromehydroquinone"	"5-S-glutathionyl-noradrenochromehydroquinone"	"c"
"3,3-diiodo-L-thyronine"	"3,3-diiodo-L-thyronine"	"c, r"
"iodide"	"iodide"	"c, r"
"3,3-diiodo-L-thyronine-4-O-sulfate"	"3,3-diiodo-L-thyronine-4-O-sulfate"	"c"
"reversetriiodthyronine"	"reversetriiodthyronine"	"c, r, e"
"3,5-diiodo-L-thyronine"	"3,5-diiodo-L-thyronine"	"c, r"
"3-monoiodo-L-thyronine"	"3-monoiodo-L-thyronine"	"c, r"
"thyroxine"	"thyroxine"	"c, r, e"
"5-S-glutathionyl-L-dopa"	"5-S-glutathionyl-L-dopa"	"c"
"L-dopaquinone"	"L-dopaquinone"	"c"
"L-dopachrome"	"L-dopachrome"	"c"
"dopachrome-O-semiquinone"	"dopachrome-O-semiquinone"	"c"
"5-S-glutathionyl-dopachromehydroquinone"	"5-S-glutathionyl-dopachromehydroquinone"	"c"
"5,6-dihydroxyindole-2-carboxylate"	"5,6-dihydroxyindole-2-carboxylate"	"c"
"2-phenylacetamide"	"2-phenylacetamide"	"c"
"4alpha-hydroxytetrahydrobiopterin"	"4alpha-hydroxytetrahydrobiopterin"	"c, n"
"phenylacetyl-CoA"	"phenylacetyl-CoA"	"c"
"phenylacetylglycine"	"phenylacetylglycine"	"c"
"L-cystathionine"	"L-cystathionine"	"c"
"cysteine"	"cysteine"	"c, m, e, l"
"mercaptopyruvate"	"mercaptopyruvate"	"c, m"
"5-methyl-THF"	"5-methyl-THF"	"c, e"
"N-acetylmethionine"	"N-acetylmethionine"	"c"
"homocysteine-thiolactone"	"homocysteine-thiolactone"	"c"
"sulfite"	"sulfite"	"c, m"
"H2S2O3"	"H2S2O3"	"c"
"cystine"	"cystine"	"c, e"
"DNA"	"DNA"	"c, n"
"DNA-5-methylcytosine"	"DNA-5-methylcytosine"	"c, n"
"H2S"	"H2S"	"c"
"S-methyl-5-thio-D-ribulose-1-phosphate"	"S-methyl-5-thio-D-ribulose-1-phosphate"	"c"
"2,3-diketo-5-methylthiopentyl-1-phosphate"	"2,3-diketo-5-methylthiopentyl-1-phosphate"	"c"
"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one"	"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one"	"c"
"3-(methylthio)propionicacid"	"3-(methylthio)propionicacid"	"c"
"CO"	"CO"	"c"
"4-methylthio-2-oxobutanoicacid"	"4-methylthio-2-oxobutanoicacid"	"c"
"thiosulfate"	"thiosulfate"	"c, m"
"hydrogen-cyanide"	"hydrogen-cyanide"	"c, m"
"thiocyanate"	"thiocyanate"	"c, m"
"3-mercaptolactate"	"3-mercaptolactate"	"c"
"hypothiocyanite"	"hypothiocyanite"	"c"
"3-sulfopyruvate"	"3-sulfopyruvate"	"c, m"
"L-cysteate"	"L-cysteate"	"c, m"
"(S)-3-sulfolactate"	"(S)-3-sulfolactate"	"c, m"
"gamma-glutamyl-cysteine"	"gamma-glutamyl-cysteine"	"c"
"(5-L-glutamyl)-L-aminoacid"	"(5-L-glutamyl)-L-aminoacid"	"e"
"3-amino-propanal"	"3-amino-propanal"	"c"
"beta-alanine"	"beta-alanine"	"c, m, e"
"selenate"	"selenate"	"c"
"adenylylselenate"	"adenylylselenate"	"c"
"3-phosphoadenylylselenate"	"3-phosphoadenylylselenate"	"c"
"selenite"	"selenite"	"c"
"selenide"	"selenide"	"c"
"selenophosphate"	"selenophosphate"	"c"
"pyridoxal-phosphate"	"pyridoxal-phosphate"	"c"
"pyridoxine-phosphate"	"pyridoxine-phosphate"	"c"
"selenocysteine"	"selenocysteine"	"c"
"selenocystathionine"	"selenocystathionine"	"c"
"selenohomocysteine"	"selenohomocysteine"	"c"
"se-adenosyl-L-selenohomocysteine"	"se-adenosyl-L-selenohomocysteine"	"c, n"
"selenomethionine"	"selenomethionine"	"c"
"methaneselenol"	"methaneselenol"	"c"
"selenomethionine-se-oxide"	"selenomethionine-se-oxide"	"c"
"se-adenosylselenomethionine"	"se-adenosylselenomethionine"	"c, n"
"se-methyl-L-selenocysteine"	"se-methyl-L-selenocysteine"	"c"
"tRNA(met)"	"tRNA(met)"	"c"
"selenomethionyl-tRNA(met)"	"selenomethionyl-tRNA(met)"	"c"
"3-hydroxyisobutyryl-CoA"	"3-hydroxyisobutyryl-CoA"	"m"
"3-methylglutaconyl-CoA"	"3-methylglutaconyl-CoA"	"m"
"(S)-3-hydroxy-2-methylbutyryl-CoA"	"(S)-3-hydroxy-2-methylbutyryl-CoA"	"m"
"D-3-amino-isobutanoate"	"D-3-amino-isobutanoate"	"m"
"chitobiose"	"chitobiose"	"l"
"N-acetylglucosamine"	"N-acetylglucosamine"	"l, c"
"UDP-xylose"	"UDP-xylose"	"r, g, c"
"N-acetylglucosamine-1-phosphate"	"N-acetylglucosamine-1-phosphate"	"c"
"UDP-N-acetylglucosamine"	"UDP-N-acetylglucosamine"	"c, r, g"
"UDP-N-acetyl-D-galactosamine"	"UDP-N-acetyl-D-galactosamine"	"c, g, l, r"
"N-acetylglucosamine-6-phosphate"	"N-acetylglucosamine-6-phosphate"	"c"
"N-acetyl-D-mannosamine"	"N-acetyl-D-mannosamine"	"r, c"
"N-acetylmannosamine-6-phosphate"	"N-acetylmannosamine-6-phosphate"	"c"
"N-acetylneuraminate-9-phosphate"	"N-acetylneuraminate-9-phosphate"	"c"
"N-acetylneuraminate"	"N-acetylneuraminate"	"c, n, l"
"CMP-neuNGc"	"CMP-neuNGc"	"c"
"neungc"	"neungc"	"c"
"CMP-N-acetylneuraminate"	"CMP-N-acetylneuraminate"	"n, c, g"
"dTDP-glucose"	"dTDP-glucose"	"c"
"4,6-dideoxy-4-oxo-dTDP-D-glucose"	"4,6-dideoxy-4-oxo-dTDP-D-glucose"	"c"
"dTDP-galactose"	"dTDP-galactose"	"c"
"3-deoxy-D-glycero-D-galacto-2-nonulosonicacid-9-phosphate"	"3-deoxy-D-glycero-D-galacto-2-nonulosonicacid-9-phosphate"	"c"
"chitin-component"	"chitin-component"	"c"
"tRNA(tyr)"	"tRNA(tyr)"	"c"
"L-tyrosyl-tRNA(tyr)"	"L-tyrosyl-tRNA(tyr)"	"c"
"tRNA(ala)"	"tRNA(ala)"	"c"
"L-alanyl-tRNA(ala)"	"L-alanyl-tRNA(ala)"	"c"
"tRNA(arg)"	"tRNA(arg)"	"c"
"L-arginyl-tRNA(arg)"	"L-arginyl-tRNA(arg)"	"c"
"tRNA(asn)"	"tRNA(asn)"	"c"
"L-asparaginyl-tRNA(asn)"	"L-asparaginyl-tRNA(asn)"	"c"
"tRNA(asp)"	"tRNA(asp)"	"c"
"L-aspartyl-tRNA(asp)"	"L-aspartyl-tRNA(asp)"	"c"
"tRNA(cys)"	"tRNA(cys)"	"c"
"L-cysteinyl-tRNA(cys)"	"L-cysteinyl-tRNA(cys)"	"c"
"tRNA(gln)"	"tRNA(gln)"	"c"
"L-glutaminyl-tRNA(gln)"	"L-glutaminyl-tRNA(gln)"	"c"
"tRNA(glu)"	"tRNA(glu)"	"c"
"L-glutamyl-tRNA(glu)"	"L-glutamyl-tRNA(glu)"	"c"
"tRNA(gly)"	"tRNA(gly)"	"c"
"glycyl-tRNA(gly)"	"glycyl-tRNA(gly)"	"c"
"tRNA(his)"	"tRNA(his)"	"c"
"L-histidyl-tRNA(his)"	"L-histidyl-tRNA(his)"	"c"
"tRNA(ile)"	"tRNA(ile)"	"c"
"L-isoleucyl-tRNA(ile)"	"L-isoleucyl-tRNA(ile)"	"c"
"tRNA(leu)"	"tRNA(leu)"	"c"
"L-leucyl-tRNA(leu)"	"L-leucyl-tRNA(leu)"	"c"
"tRNA(lys)"	"tRNA(lys)"	"c"
"L-lysyl-tRNA(lys)"	"L-lysyl-tRNA(lys)"	"c"
"L-methionyl-tRNA(met)"	"L-methionyl-tRNA(met)"	"c"
"N-formylmethionyl-tRNA"	"N-formylmethionyl-tRNA"	"c"
"tRNA(phe)"	"tRNA(phe)"	"c"
"L-phenylalanyl-tRNA(phe)"	"L-phenylalanyl-tRNA(phe)"	"c"
"tRNA(pro)"	"tRNA(pro)"	"c"
"L-prolyl-tRNA(pro)"	"L-prolyl-tRNA(pro)"	"c"
"tRNA(ser)"	"tRNA(ser)"	"c"
"L-seryl-tRNA(ser)"	"L-seryl-tRNA(ser)"	"c"
"tRNA(thr)"	"tRNA(thr)"	"c"
"L-threonyl-tRNA(thr)"	"L-threonyl-tRNA(thr)"	"c"
"tRNA(trp)"	"tRNA(trp)"	"c"
"L-tryptophanyl-tRNA(trp)"	"L-tryptophanyl-tRNA(trp)"	"c"
"tRNA(val)"	"tRNA(val)"	"c"
"L-valyl-tRNA(val)"	"L-valyl-tRNA(val)"	"c"
"T-antigen"	"T-antigen"	"g"
"sialyl-Tantigen"	"sialyl-Tantigen"	"g"
"Tn-antigen"	"Tn-antigen"	"g, l"
"G00031"	"G00031"	"g"
"G00032"	"G00032"	"g"
"[protein]-L-serine"	"[protein]-L-serine"	"g, c, r, l"
"core2"	"core2"	"g"
"trans,trans,cis-geranyl-geranyl-pp"	"trans,trans,cis-geranyl-geranyl-pp"	"c"
"dimethylallyl-PP"	"dimethylallyl-PP"	"c"
"farnesyl-PP"	"farnesyl-PP"	"c"
"dolichyl-diphosphate"	"dolichyl-diphosphate"	"c, r"
"dolichyl-phosphate"	"dolichyl-phosphate"	"c, r"
"dolichol"	"dolichol"	"c"
"N-acetyl-D-glucosaminyldiphosphodolichol"	"N-acetyl-D-glucosaminyldiphosphodolichol"	"c"
"N,N-chitobiosyldiphosphodolichol"	"N,N-chitobiosyldiphosphodolichol"	"c"
"beta-D-mannosyldiacetylchitobiosyldiphosphodolichol"	"beta-D-mannosyldiacetylchitobiosyldiphosphodolichol"	"c"
"alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol"	"alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol"	"c"
"G00005"	"G00005"	"c"
"G10526"	"G10526"	"c"
"G00006"	"G00006"	"c, r"
"dolichyl-phosphate-D-mannose"	"dolichyl-phosphate-D-mannose"	"c, r"
"G10595"	"G10595"	"r"
"G10596"	"G10596"	"r"
"G10597"	"G10597"	"r"
"G00007"	"G00007"	"r"
"dolichyl-D-glucosyl-phosphate"	"dolichyl-D-glucosyl-phosphate"	"r"
"G10598"	"G10598"	"r"
"G10599"	"G10599"	"r"
"(Glc)3(GlcNAc)2(Man)9(PP-Dol)1"	"(Glc)3(GlcNAc)2(Man)9(PP-Dol)1"	"r"
"[protein]-L-asparagine"	"[protein]-L-asparagine"	"r, l"
"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"r"
"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"r"
"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"r"
"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformB(protein)"	"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformB(protein)"	"r"
"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformC(protein)"	"glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformC(protein)"	"r"
"glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"r"
"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"r, g"
"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformB(protein)"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformB(protein)"	"r, g"
"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformA(protein)"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformA(protein)"	"g"
"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformC(protein)"	"(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine,isoformC(protein)"	"g"
"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(A)"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(A)"	"g"
"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B1)"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B1)"	"g"
"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B2)"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B2)"	"g"
"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(C)"	"(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(C)"	"g"
"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(C)"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(C)"	"g"
"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B1)"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B1)"	"g"
"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B2)"	"(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)(B2)"	"g"
"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine(protein)"	"g"
"nm4masn"	"nm4masn"	"g"
"nm2masn"	"nm2masn"	"g"
"n2m2masn"	"n2m2masn"	"g"
"n2m2nmasn"	"n2m2nmasn"	"g, l"
"G00020"	"G00020"	"g"
"G00021"	"G00021"	"g"
"G00022"	"G00022"	"g"
"fn2m2masn"	"fn2m2masn"	"g"
"l2fn2m2masn"	"l2fn2m2masn"	"g"
"PA6"	"PA6"	"g, e, l"
"(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine"	"(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine"	"l"
"beta-1,4-mannose-N-acetylglucosamine"	"beta-1,4-mannose-N-acetylglucosamine"	"l"
"de-FucformofPA6"	"de-FucformofPA6"	"l, e"
"de-FucformofPA6(wopeptidelinkage)"	"de-FucformofPA6(wopeptidelinkage)"	"l"
"de-Fuc,GlcNAcremovedPA6(wopeptidelinkage)"	"de-Fuc,GlcNAcremovedPA6(wopeptidelinkage)"	"l"
"l2n2m2mn"	"l2n2m2mn"	"l"
"n2m2mn"	"n2m2mn"	"l"
"n2m2nm"	"n2m2nm"	"l"
"n2m2nmn"	"n2m2nmn"	"l"
"n3m2masn"	"n3m2masn"	"g"
"n4m2masn"	"n4m2masn"	"g"
"apoA1"	"apoA1"	"c, l"
"[protein]-L-tyrosine"	"[protein]-L-tyrosine"	"c"
"[protein]-tyrosine-phosphate"	"[protein]-tyrosine-phosphate"	"c"
"[protein]-tyrosine-O-sulfate"	"[protein]-tyrosine-O-sulfate"	"c"
"[protein]-L-arginine"	"[protein]-L-arginine"	"c"
"[protein]-L-citrulline"	"[protein]-L-citrulline"	"c"
"[protein]-omega-N-(ADP-D-ribosyl)-L-arginine"	"[protein]-omega-N-(ADP-D-ribosyl)-L-arginine"	"c"
"N(omega)-(ADP-D-ribosyl)-L-arginine"	"N(omega)-(ADP-D-ribosyl)-L-arginine"	"c"
"albumin"	"albumin"	"l"
"antichymotrypsin"	"antichymotrypsin"	"l"
"antitrypsin"	"antitrypsin"	"l"
"apoB100"	"apoB100"	"l"
"fibrinogen"	"fibrinogen"	"l"
"haptoglobin"	"haptoglobin"	"l"
"plasminogen"	"plasminogen"	"l"
"prothrombin"	"prothrombin"	"l"
"[apotransferin]"	"[apotransferin]"	"l"
"apoE"	"apoE"	"l"
"STAR"	"STAR"	"l, c"
"GM2A"	"GM2A"	"l"
"apocytochrome-C"	"apocytochrome-C"	"l, m"
"PPARA"	"PPARA"	"l, n"
"apoB48"	"apoB48"	"l"
"carbonate"	"carbonate"	"e, c"
"activatedmethylgroup"	"activatedmethylgroup"	"c"
"itaconate"	"itaconate"	"m"
"itaconyl-CoA"	"itaconyl-CoA"	"m"
"mesaconyl-CoA"	"mesaconyl-CoA"	"m"
"mesaconate"	"mesaconate"	"m"
"isocitrate"	"isocitrate"	"c, m, p"
"oxalosuccinate"	"oxalosuccinate"	"c, m, p"
"citrate"	"citrate"	"m, c, e"
"thiamin-PP"	"thiamin-PP"	"m, c"
"3-carboxy-1-hydroxypropyl-ThPP"	"3-carboxy-1-hydroxypropyl-ThPP"	"m"
"cis-aconitate"	"cis-aconitate"	"m, c"
"S-succinyldihydrolipoamide"	"S-succinyldihydrolipoamide"	"m"
"D-xylulose-1-phosphate"	"D-xylulose-1-phosphate"	"c"
"glycolaldehyde"	"glycolaldehyde"	"c, m"
"oxalate"	"oxalate"	"c, e, m"
"butyrate"	"butyrate"	"c, e"
"pentanoyl-CoA"	"pentanoyl-CoA"	"c, m"
"valericacid"	"valericacid"	"c, e"
"hexanoyl-CoA"	"hexanoyl-CoA"	"c, p, m"
"hexanoicacid"	"hexanoicacid"	"c, e"
"heptanoyl-CoA"	"heptanoyl-CoA"	"c, m"
"heptylicacid"	"heptylicacid"	"c, e"
"octanoyl-CoA"	"octanoyl-CoA"	"c, m, p"
"octanoicacid"	"octanoicacid"	"c, e"
"nonanoyl-CoA"	"nonanoyl-CoA"	"c, m"
"nonanoicacid"	"nonanoicacid"	"c, e"
"decanoyl-CoA"	"decanoyl-CoA"	"c, p, m"
"decanoicacid"	"decanoicacid"	"c, e"
"undecanoyl-CoA"	"undecanoyl-CoA"	"c, m"
"undecylicacid"	"undecylicacid"	"c, e"
"lauroyl-CoA"	"lauroyl-CoA"	"c, r, m, p"
"lauricacid"	"lauricacid"	"c, r, l, e"
"tridecanoyl-CoA"	"tridecanoyl-CoA"	"c, r, m"
"tridecylicacid"	"tridecylicacid"	"c, r, l, e"
"myristoyl-CoA"	"myristoyl-CoA"	"c, r, m, p"
"myristicacid"	"myristicacid"	"c, r, l, e"
"(9E)-tetradecenoicacid"	"(9E)-tetradecenoicacid"	"c, r, l, e"
"(9E)-tetradecenoyl-CoA"	"(9E)-tetradecenoyl-CoA"	"c, r, m"
"(7Z)-tetradecenoicacid"	"(7Z)-tetradecenoicacid"	"c, r, l, e"
"(7Z)-tetradecenoyl-CoA"	"(7Z)-tetradecenoyl-CoA"	"c, r, m, p"
"5-tetradecenoyl-CoA"	"5-tetradecenoyl-CoA"	"c, r, m, p"
"physetericacid"	"physetericacid"	"c, r, l, e"
"pentadecanoyl-CoA"	"pentadecanoyl-CoA"	"c, r, m"
"pentadecylicacid"	"pentadecylicacid"	"c, r, l, e"
"palmitoyl-CoA"	"palmitoyl-CoA"	"c, r, p, m"
"palmitate"	"palmitate"	"c, r, p, l, e"
"palmitoleoyl-CoA"	"palmitoleoyl-CoA"	"c, r, m, p"
"palmitolate"	"palmitolate"	"c, r, l, e"
"7-hexadecenoyl-CoA"	"7-hexadecenoyl-CoA"	"c, r, m, p"
"7-palmitoleicacid"	"7-palmitoleicacid"	"c, r, l, e"
"heptadecanoyl-CoA"	"heptadecanoyl-CoA"	"c, r, m"
"margaricacid"	"margaricacid"	"c, r, l, e"
"(10Z)-heptadecenoicacid"	"(10Z)-heptadecenoicacid"	"c, r, l, e"
"(10Z)-heptadecenoyl-CoA"	"(10Z)-heptadecenoyl-CoA"	"c, r, m"
"9-heptadecenoyl-CoA"	"9-heptadecenoyl-CoA"	"c, r, m"
"9-heptadecylenicacid"	"9-heptadecylenicacid"	"c, r, l, e"
"stearoyl-CoA"	"stearoyl-CoA"	"c, r, m, p"
"stearate"	"stearate"	"c, r, l, e"
"(13Z)-octadecenoicacid"	"(13Z)-octadecenoicacid"	"c, r, l, e"
"(13Z)-octadecenoyl-CoA"	"(13Z)-octadecenoyl-CoA"	"c, r, m"
"cis-vaccenoyl-CoA"	"cis-vaccenoyl-CoA"	"c, r, m, p"
"cis-vaccenicacid"	"cis-vaccenicacid"	"c, r, l, e"
"oleate"	"oleate"	"c, r, l, e"
"oleoyl-CoA"	"oleoyl-CoA"	"c, r, m, p"
"(9E)-octadecenoyl-CoA"	"(9E)-octadecenoyl-CoA"	"c, r, m"
"elaidate"	"elaidate"	"c, r, l, e"
"(7Z)-octadecenoicacid"	"(7Z)-octadecenoicacid"	"c, l, r, e"
"(6Z,9Z)-octadecadienoicacid"	"(6Z,9Z)-octadecadienoicacid"	"c, r, l, e"
"(6Z,9Z)-octadecadienoyl-CoA"	"(6Z,9Z)-octadecadienoyl-CoA"	"c, r, m"
"nonadecanoyl-CoA"	"nonadecanoyl-CoA"	"c, r, m"
"nonadecylicacid"	"nonadecylicacid"	"c, r, l, e"
"eicosanoyl-CoA"	"eicosanoyl-CoA"	"c, r, m, p"
"eicosanoate"	"eicosanoate"	"c, r, l, e"
"(13Z)-eicosenoicacid"	"(13Z)-eicosenoicacid"	"c, r, l, e"
"(13Z)-eicosenoyl-CoA"	"(13Z)-eicosenoyl-CoA"	"c, r, m, p"
"(11Z)-eicosenoyl-CoA"	"(11Z)-eicosenoyl-CoA"	"c, r, m, p"
"cis-gondoicacid"	"cis-gondoicacid"	"c, r, l, e"
"9-eicosenoicacid"	"9-eicosenoicacid"	"c, r, l, e"
"9-eicosenoyl-CoA"	"9-eicosenoyl-CoA"	"c, r, m"
"(8Z,11Z)-eicosadienoyl-CoA"	"(8Z,11Z)-eicosadienoyl-CoA"	"c, r, m"
"8,11-eicosadienoicacid"	"8,11-eicosadienoicacid"	"c, r, l, e"
"(5Z,8Z,11Z)-eicosatrienoyl-CoA"	"(5Z,8Z,11Z)-eicosatrienoyl-CoA"	"c, r, m"
"meadacid"	"meadacid"	"c, r, l, e"
"heneicosanoyl-CoA"	"heneicosanoyl-CoA"	"c, r, m"
"henicosanoicacid"	"henicosanoicacid"	"c, r, l, e"
"docosanoyl-CoA"	"docosanoyl-CoA"	"c, r, m, p"
"behenicacid"	"behenicacid"	"c, r, l, e"
"(13Z)-docosenoyl-CoA"	"(13Z)-docosenoyl-CoA"	"c, r, m, p"
"cis-erucicacid"	"cis-erucicacid"	"c, r, l, e"
"(11Z)-docosenoyl-CoA"	"(11Z)-docosenoyl-CoA"	"c, r, m"
"cis-cetoleicacid"	"cis-cetoleicacid"	"c, r, l, e"
"tricosanoyl-CoA"	"tricosanoyl-CoA"	"c, r"
"tricosanoicacid"	"tricosanoicacid"	"c, r, l, e"
"tetracosanoyl-CoA"	"tetracosanoyl-CoA"	"c, r, p"
"lignocerate"	"lignocerate"	"c, r, l, e"
"(15Z)-tetracosenoyl-CoA"	"(15Z)-tetracosenoyl-CoA"	"c, r, p"
"nervonicacid"	"nervonicacid"	"c, r, l, e"
"hexacosanoyl-CoA"	"hexacosanoyl-CoA"	"c, r, p"
"ceroticacid"	"ceroticacid"	"c, r, l, e"
"hexacosenoyl-CoA"	"hexacosenoyl-CoA"	"c, r, p"
"ximenicacid"	"ximenicacid"	"c, r, l, e"
